family,genus,species_binomial,n_occurrence_rows,n_compounds,n_references,representative_allowed,representative_exclusion_reason,representative_source,tree_species,representative_taxonomy_status,Order,Node.1,Node.2,Node.3,Node.4,apg_match,nodes_text,FinalClade,is_vascular,clade_assignment_source,AnalysisClade
Humiriaceae,Vantanea,Vantanea peruviana,2,2,1,TRUE,,observed_binomial_species,Vantanea_peruviana,compatible,Malpighiales,Eudicots,Superrosids,Rosids,Fabids,TRUE,Eudicots | Superrosids | Rosids | Fabids,Rosids (Fabids),TRUE,APG_reference,Rosids (Fabids)
Hydrangeaceae,Hydrangea,Hydrangea macrophylla,4,4,1,TRUE,,observed_binomial_species,Hydrangea_macrophylla,compatible,Cornales,Eudicots,Superasterids,Asterids,,TRUE,Eudicots | Superasterids | Asterids,Asterids (Basal),TRUE,APG_reference,Asterids (Basal)
Hypericaceae,Hypericum,Hypericum perforatum,17,11,9,TRUE,,observed_binomial_species,Hypericum_perforatum,compatible,Malpighiales,Eudicots,Superrosids,Rosids,Fabids,TRUE,Eudicots | Superrosids | Rosids | Fabids,Rosids (Fabids),TRUE,APG_reference,Rosids (Fabids)
Hypnaceae,Hypnum,Hypnum cupressiforme,18,18,2,TRUE,,observed_binomial_species,Hypnum_cupressiforme,compatible,,,,,,FALSE,,Bryophytes,FALSE,manual_family_override,Bryophytes
Iridaceae,Iris,Iris domestica,106,46,21,TRUE,,observed_binomial_species,Iris_domestica,compatible,Asparagales,Monocots,,,,TRUE,Monocots,Monocots,TRUE,APG_reference,Monocots
Juglandaceae,Juglans,Juglans regia,17,16,3,TRUE,,observed_binomial_species,Juglans_regia,compatible,Fagales,Eudicots,Superrosids,Rosids,Fabids,TRUE,Eudicots | Superrosids | Rosids | Fabids,Rosids (Fabids),TRUE,APG_reference,Rosids (Fabids)
Krameriaceae,Krameria,Krameria erecta,27,21,2,TRUE,,observed_binomial_species,Krameria_erecta,compatible,Zygophyllales,Eudicots,Superrosids,Rosids,Fabids,TRUE,Eudicots | Superrosids | Rosids | Fabids,Rosids (Fabids),TRUE,APG_reference,Rosids (Fabids)
Lamiaceae,Scutellaria,Scutellaria indica,39,35,4,TRUE,,observed_binomial_species,Scutellaria_indica,compatible,Lamiales,Eudicots,Superasterids,Asterids,Lamiids,TRUE,Eudicots | Superasterids | Asterids | Lamiids,Asterids (Lamiids),TRUE,APG_reference,Asterids (Lamiids)
Lardizabalaceae,Sinofranchetia,Sinofranchetia chinensis,5,4,2,TRUE,,observed_binomial_species,Sinofranchetia_chinensis,compatible,Ranunculales,Eudicots,,,,TRUE,Eudicots,Basal Eudicots,TRUE,APG_reference,Basal Eudicots
Lauraceae,Lindera,Lindera umbellata,74,52,16,TRUE,,observed_binomial_species,Lindera_umbellata,compatible,Laurales,Magnoliids,,,,TRUE,Magnoliids,Magnoliids,TRUE,APG_reference,Magnoliids
Lecythidaceae,Bertholletia,Bertholletia excelsa,8,8,1,TRUE,,observed_binomial_species,Bertholletia_excelsa,compatible,Ericales,Eudicots,Superasterids,Asterids,,TRUE,Eudicots | Superasterids | Asterids,Asterids (Basal),TRUE,APG_reference,Asterids (Basal)
Lembophyllaceae,Pilotrichella,Pilotrichella flexilis,5,5,1,TRUE,,observed_binomial_species,Pilotrichella_flexilis,compatible,,,,,,FALSE,,Bryophytes,FALSE,manual_family_override,Bryophytes
Leucobryaceae,Campylopus,Campylopus clavatus,2,2,1,TRUE,,observed_binomial_species,Campylopus_clavatus,compatible,,,,,,FALSE,,Bryophytes,FALSE,manual_family_override,Bryophytes
Loganiaceae,Strychnos,Strychnos trinervis,1,1,1,TRUE,,observed_binomial_species,Strychnos_trinervis,compatible,Gentianales,Eudicots,Superasterids,Asterids,Lamiids,TRUE,Eudicots | Superasterids | Asterids | Lamiids,Asterids (Lamiids),TRUE,APG_reference,Asterids (Lamiids)
Loranthaceae,Scurrula,Scurrula atropurpurea,7,7,1,TRUE,,observed_binomial_species,Scurrula_atropurpurea,compatible,Santalales,Eudicots,Superasterids,,,TRUE,Eudicots | Superasterids,Santalales,TRUE,APG_reference,Caryophy_Santalales
Lycopodiaceae,Huperzia,Huperzia lucidula,2,2,1,TRUE,,observed_binomial_species,Huperzia_lucidula,compatible,Lycopodiales,,,,,TRUE,,Lycophytes,TRUE,manual_family_override,Lycophytes
Lythraceae,Punica,Punica granatum,33,30,10,TRUE,,observed_binomial_species,Punica_granatum,compatible,Myrtales,Eudicots,Superrosids,Rosids,Malvids,TRUE,Eudicots | Superrosids | Rosids | Malvids,Rosids (Malvids),TRUE,APG_reference,Rosids (Malvids)
Malpighiaceae,Byrsonima,Byrsonima crassifolia,22,17,3,TRUE,,observed_binomial_species,Byrsonima_crassifolia,compatible,Malpighiales,Eudicots,Superrosids,Rosids,Fabids,TRUE,Eudicots | Superrosids | Rosids | Fabids,Rosids (Fabids),TRUE,APG_reference,Rosids (Fabids)
Malvaceae,Theobroma,Theobroma cacao,42,18,15,TRUE,,observed_binomial_species,Theobroma_cacao,compatible,Malvales,Eudicots,Superrosids,Rosids,Malvids,TRUE,Eudicots | Superrosids | Rosids | Malvids,Rosids (Malvids),TRUE,APG_reference,Rosids (Malvids)
Marcgraviaceae,Norantea,Norantea guianensis,1,1,1,TRUE,,observed_binomial_species,Norantea_guianensis,compatible,Ericales,Eudicots,Superasterids,Asterids,,TRUE,Eudicots | Superasterids | Asterids,Asterids (Basal),TRUE,APG_reference,Asterids (Basal)
Marchantiaceae,Marchantia,Marchantia polymorpha,2,2,1,TRUE,,observed_binomial_species,Marchantia_polymorpha,compatible,,,,,,FALSE,,Bryophytes,FALSE,manual_family_override,Bryophytes
Melanthiaceae,Schoenocaulon,Schoenocaulon officinale,5,5,1,TRUE,,observed_binomial_species,Schoenocaulon_officinale,compatible,Liliales,Monocots,,,,TRUE,Monocots,Monocots,TRUE,APG_reference,Monocots
Melastomataceae,Melastoma,Melastoma malabathricum,13,13,3,TRUE,,observed_binomial_species,Melastoma_malabathricum,compatible,Myrtales,Eudicots,Superrosids,Rosids,Malvids,TRUE,Eudicots | Superrosids | Rosids | Malvids,Rosids (Malvids),TRUE,APG_reference,Rosids (Malvids)
Meliaceae,Soymida,Soymida febrifuga,31,31,1,TRUE,,observed_binomial_species,Soymida_febrifuga,compatible,Sapindales,Eudicots,Superrosids,Rosids,Malvids,TRUE,Eudicots | Superrosids | Rosids | Malvids,Rosids (Malvids),TRUE,APG_reference,Rosids (Malvids)
Menispermaceae,Tinospora,Tinospora sinensis,2,2,1,TRUE,,observed_binomial_species,Tinospora_sinensis,compatible,Ranunculales,Eudicots,,,,TRUE,Eudicots,Basal Eudicots,TRUE,APG_reference,Basal Eudicots
Mniaceae,Mnium,Mnium hornum,9,9,1,TRUE,,observed_binomial_species,Mnium_hornum,compatible,,,,,,FALSE,,Bryophytes,FALSE,manual_family_override,Bryophytes
Molluginaceae,Mollugo,Mollugo pentaphylla,2,2,1,TRUE,,observed_binomial_species,Mollugo_pentaphylla,compatible,Caryophyllales,Eudicots,Superasterids,,,TRUE,Eudicots | Superasterids,Caryophyllales,TRUE,APG_reference,Caryophy_Santalales
Moraceae,Morus,Morus alba,277,162,69,TRUE,,observed_binomial_species,Morus_alba,compatible,Rosales,Eudicots,Superrosids,Rosids,Fabids,TRUE,Eudicots | Superrosids | Rosids | Fabids,Rosids (Fabids),TRUE,APG_reference,Rosids (Fabids)
Muntingiaceae,Muntingia,Muntingia calabura,55,46,5,TRUE,,observed_binomial_species,Muntingia_calabura,compatible,Malvales,Eudicots,Superrosids,Rosids,Malvids,TRUE,Eudicots | Superrosids | Rosids | Malvids,Rosids (Malvids),TRUE,APG_reference,Rosids (Malvids)
Musaceae,Musa,Musa acuminata,6,4,3,TRUE,,observed_binomial_species,Musa_acuminata,compatible,Zingiberales,Monocots,Commelinids,,,TRUE,Monocots | Commelinids,Monocots (Commelinids),TRUE,APG_reference,Monocots (Commelinids)
Myricaceae,Myrica,Myrica rubra,44,24,9,TRUE,,observed_binomial_species,Myrica_rubra,compatible,Fagales,Eudicots,Superrosids,Rosids,Fabids,TRUE,Eudicots | Superrosids | Rosids | Fabids,Rosids (Fabids),TRUE,APG_reference,Rosids (Fabids)
Myristicaceae,Iryanthera,Iryanthera laevis,29,26,5,TRUE,,observed_binomial_species,Iryanthera_laevis,compatible,Magnoliales,Magnoliids,,,,TRUE,Magnoliids,Magnoliids,TRUE,APG_reference,Magnoliids
Myrtaceae,Syzygium,Syzygium nervosum,43,39,3,TRUE,,observed_binomial_species,Syzygium_nervosum,compatible,Myrtales,Eudicots,Superrosids,Rosids,Malvids,TRUE,Eudicots | Superrosids | Rosids | Malvids,Rosids (Malvids),TRUE,APG_reference,Rosids (Malvids)
Namaceae,Eriodictyon,Eriodictyon californicum,12,10,4,TRUE,,observed_binomial_species,Eriodictyon_californicum,compatible,,,,,,FALSE,,Asterids (Lamiids),TRUE,manual_family_override,Asterids (Lamiids)
Nelumbonaceae,Nelumbo,Nelumbo nucifera,10,8,4,TRUE,,observed_binomial_species,Nelumbo_nucifera,compatible,Proteales,Eudicots,,,,TRUE,Eudicots,Basal Eudicots,TRUE,APG_reference,Basal Eudicots
Nothofagaceae,Nothofagus,Nothofagus fusca,3,3,2,TRUE,,observed_binomial_species,Nothofagus_fusca,compatible,Fagales,Eudicots,Superrosids,Rosids,Fabids,TRUE,Eudicots | Superrosids | Rosids | Fabids,Rosids (Fabids),TRUE,APG_reference,Rosids (Fabids)
Nyctaginaceae,Mirabilis,Mirabilis jalapa,17,15,2,TRUE,,observed_binomial_species,Mirabilis_jalapa,compatible,Caryophyllales,Eudicots,Superasterids,,,TRUE,Eudicots | Superasterids,Caryophyllales,TRUE,APG_reference,Caryophy_Santalales
Nymphaeaceae,Nymphaea,Nymphaea nouchali,10,10,2,TRUE,,observed_binomial_species,Nymphaea_nouchali,compatible,Nymphaeales,,,,,TRUE,,Basal Angiosperms,TRUE,APG_reference,ANA
Ochnaceae,Lophira,Lophira lanceolata,19,15,8,TRUE,,observed_binomial_species,Lophira_lanceolata,compatible,Malpighiales,Eudicots,Superrosids,Rosids,Fabids,TRUE,Eudicots | Superrosids | Rosids | Fabids,Rosids (Fabids),TRUE,APG_reference,Rosids (Fabids)
Olacaceae,Heisteria,Heisteria acuminata,2,2,1,TRUE,,observed_binomial_species,Heisteria_acuminata,compatible,Santalales,Eudicots,Superasterids,,,TRUE,Eudicots | Superasterids,Santalales,TRUE,APG_reference,Caryophy_Santalales
Oleaceae,Olea,Olea europaea,1,1,1,TRUE,,observed_binomial_species,Olea_europaea,compatible,Lamiales,Eudicots,Superasterids,Asterids,Lamiids,TRUE,Eudicots | Superasterids | Asterids | Lamiids,Asterids (Lamiids),TRUE,APG_reference,Asterids (Lamiids)
Onagraceae,Epilobium,Epilobium angustifolium,10,10,1,TRUE,,observed_binomial_species,Epilobium_angustifolium,compatible,Myrtales,Eudicots,Superrosids,Rosids,Malvids,TRUE,Eudicots | Superrosids | Rosids | Malvids,Rosids (Malvids),TRUE,APG_reference,Rosids (Malvids)
Onocleaceae,Pentarhizidium,Pentarhizidium orientale,27,19,4,TRUE,,observed_binomial_species,Pentarhizidium_orientale,compatible,Polypodiales,,,,,TRUE,,Ferns,TRUE,APG_reference,Ferns
Ophioglossaceae,Helminthostachys,Helminthostachys zeylanica,2,2,1,TRUE,,observed_binomial_species,Helminthostachys_zeylanica,compatible,Ophioglossales,,,,,TRUE,,Ferns,TRUE,manual_family_override,Ferns
Orchidaceae,Pleione,Pleione bulbocodioides,27,27,3,TRUE,,observed_binomial_species,Pleione_bulbocodioides,compatible,Asparagales,Monocots,,,,TRUE,Monocots,Monocots,TRUE,APG_reference,Monocots
Oxalidaceae,Averrhoa,Averrhoa carambola,6,6,1,TRUE,,observed_binomial_species,Averrhoa_carambola,compatible,Oxalidales,Eudicots,Superrosids,Rosids,Fabids,TRUE,Eudicots | Superrosids | Rosids | Fabids,Rosids (Fabids),TRUE,APG_reference,Rosids (Fabids)
Paeoniaceae,Paeonia,Paeonia obovata,8,8,1,TRUE,,observed_binomial_species,Paeonia_obovata,compatible,Saxifragales,Eudicots,Superrosids,,,TRUE,Eudicots | Superrosids,Saxifragales,TRUE,APG_reference,Saxifragales
Pandaceae,Panda,Panda oleosa,2,2,1,TRUE,,observed_binomial_species,Panda_oleosa,compatible,Malpighiales,Eudicots,Superrosids,Rosids,Fabids,TRUE,Eudicots | Superrosids | Rosids | Fabids,Rosids (Fabids),TRUE,APG_reference,Rosids (Fabids)
Papaveraceae,Argemone,Argemone mexicana,3,3,2,TRUE,,observed_binomial_species,Argemone_mexicana,compatible,Ranunculales,Eudicots,,,,TRUE,Eudicots,Basal Eudicots,TRUE,APG_reference,Basal Eudicots
Paracryphiaceae,Quintinia,Quintinia serrata,9,9,1,TRUE,,observed_binomial_species,Quintinia_serrata,compatible,Paracryphiales,Eudicots,Superasterids,Asterids,Campanulids,TRUE,Eudicots | Superasterids | Asterids | Campanulids,Asterids (Campanulids),TRUE,APG_reference,Asterids (Campanulids)
Passifloraceae,Turnera,Turnera diffusa,2,2,1,TRUE,,observed_binomial_species,Turnera_diffusa,compatible,Malpighiales,Eudicots,Superrosids,Rosids,Fabids,TRUE,Eudicots | Superrosids | Rosids | Fabids,Rosids (Fabids),TRUE,APG_reference,Rosids (Fabids)
Paulowniaceae,Paulownia,Paulownia tomentosa,148,99,8,TRUE,,observed_binomial_species,Paulownia_tomentosa,compatible,Lamiales,Eudicots,Superasterids,Asterids,Lamiids,TRUE,Eudicots | Superasterids | Asterids | Lamiids,Asterids (Lamiids),TRUE,APG_reference,Asterids (Lamiids)
Pentaphylacaceae,Visnea,Visnea mocanera,2,2,1,TRUE,,observed_binomial_species,Visnea_mocanera,compatible,Ericales,Eudicots,Superasterids,Asterids,,TRUE,Eudicots | Superasterids | Asterids,Asterids (Basal),TRUE,APG_reference,Asterids (Basal)
Petiveriaceae,Petiveria,Petiveria alliacea,13,13,1,TRUE,,observed_binomial_species,Petiveria_alliacea,compatible,Caryophyllales,Eudicots,Superasterids,,,TRUE,Eudicots | Superasterids,Caryophyllales,TRUE,APG_reference,Caryophy_Santalales
Phrymaceae,Diplacus,Diplacus aurantiacus,23,17,3,TRUE,,observed_binomial_species,Diplacus_aurantiacus,compatible,Lamiales,Eudicots,Superasterids,Asterids,Lamiids,TRUE,Eudicots | Superasterids | Asterids | Lamiids,Asterids (Lamiids),TRUE,APG_reference,Asterids (Lamiids)
Phyllanthaceae,Phyllanthus,Phyllanthus emblica,52,43,3,TRUE,,observed_binomial_species,Phyllanthus_emblica,compatible,Malpighiales,Eudicots,Superrosids,Rosids,Fabids,TRUE,Eudicots | Superrosids | Rosids | Fabids,Rosids (Fabids),TRUE,APG_reference,Rosids (Fabids)
Physenaceae,Physena,Physena madagascariensis,7,7,1,TRUE,,observed_binomial_species,Physena_madagascariensis,compatible,Caryophyllales,Eudicots,Superasterids,,,TRUE,Eudicots | Superasterids,Caryophyllales,TRUE,APG_reference,Caryophy_Santalales
Phytolaccaceae,Phytolacca,Phytolacca americana,2,2,1,TRUE,,observed_binomial_species,Phytolacca_americana,compatible,Caryophyllales,Eudicots,Superasterids,,,TRUE,Eudicots | Superasterids,Caryophyllales,TRUE,APG_reference,Caryophy_Santalales
Pinaceae,Pinus,Pinus sylvestris,44,30,8,TRUE,,observed_binomial_species,Pinus_sylvestris,compatible,Pinales,,,,,TRUE,,Gymnosperms,TRUE,manual_family_override,Gymnosperms
Piperaceae,Piper,Piper aduncum,41,33,10,TRUE,,observed_binomial_species,Piper_aduncum,compatible,Piperales,Magnoliids,,,,TRUE,Magnoliids,Magnoliids,TRUE,APG_reference,Magnoliids
Plantaginaceae,Antirrhinum,Antirrhinum majus,14,10,6,TRUE,,observed_binomial_species,Antirrhinum_majus,compatible,Lamiales,Eudicots,Superasterids,Asterids,Lamiids,TRUE,Eudicots | Superasterids | Asterids | Lamiids,Asterids (Lamiids),TRUE,APG_reference,Asterids (Lamiids)
Platanaceae,Platanus,Platanus orientalis,14,14,2,TRUE,,observed_binomial_species,Platanus_orientalis,compatible,Proteales,Eudicots,,,,TRUE,Eudicots,Basal Eudicots,TRUE,APG_reference,Basal Eudicots
Plumbaginaceae,Limonium,Limonium sinense,18,16,2,TRUE,,observed_binomial_species,Limonium_sinense,compatible,Caryophyllales,Eudicots,Superasterids,,,TRUE,Eudicots | Superasterids,Caryophyllales,TRUE,APG_reference,Caryophy_Santalales
Poaceae,Gynerium,Gynerium sagittatum,18,18,1,TRUE,,observed_binomial_species,Gynerium_sagittatum,compatible,Poales,Monocots,Commelinids,,,TRUE,Monocots | Commelinids,Monocots (Commelinids),TRUE,APG_reference,Monocots (Commelinids)
Podocarpaceae,Phyllocladus,Phyllocladus trichomanoides,28,22,3,TRUE,,observed_binomial_species,Phyllocladus_trichomanoides,compatible,Cupressales,,,,,TRUE,,Gymnosperms,TRUE,manual_family_override,Gymnosperms
Polygalaceae,Polygala,Polygala virgata,3,3,1,TRUE,,observed_binomial_species,Polygala_virgata,compatible,Fabales,Eudicots,Superrosids,Rosids,Fabids,TRUE,Eudicots | Superrosids | Rosids | Fabids,Rosids (Fabids),TRUE,APG_reference,Rosids (Fabids)
Polygonaceae,Rumex,Rumex acetosa,50,50,1,TRUE,,observed_binomial_species,Rumex_acetosa,compatible,Caryophyllales,Eudicots,Superasterids,,,TRUE,Eudicots | Superasterids,Caryophyllales,TRUE,APG_reference,Caryophy_Santalales
Polypodiaceae,Selliguea,Selliguea feei,8,8,2,TRUE,,observed_binomial_species,Selliguea_feei,compatible,Polypodiales,,,,,TRUE,,Ferns,TRUE,manual_family_override,Ferns
Polytrichaceae,Polytrichum,Polytrichum commune,5,5,1,TRUE,,observed_binomial_species,Polytrichum_commune,compatible,,,,,,FALSE,,Bryophytes,FALSE,manual_family_override,Bryophytes
Portulacaceae,Portulaca,Portulaca oleracea,4,4,2,TRUE,,observed_binomial_species,Portulaca_oleracea,compatible,Caryophyllales,Eudicots,Superasterids,,,TRUE,Eudicots | Superasterids,Caryophyllales,TRUE,APG_reference,Caryophy_Santalales
Posidoniaceae,Posidonia,Posidonia oceanica,1,1,1,TRUE,,observed_binomial_species,Posidonia_oceanica,compatible,Alismatales,Monocots,,,,TRUE,Monocots,Monocots,TRUE,APG_reference,Monocots
Primulaceae,Ardisia,Ardisia complanata,16,16,1,TRUE,,observed_binomial_species,Ardisia_complanata,compatible,Ericales,Eudicots,Superasterids,Asterids,,TRUE,Eudicots | Superasterids | Asterids,Asterids (Basal),TRUE,APG_reference,Asterids (Basal)
Proteaceae,Helicia,Helicia cochinchinensis,2,2,1,TRUE,,observed_binomial_species,Helicia_cochinchinensis,compatible,Proteales,Eudicots,,,,TRUE,Eudicots,Basal Eudicots,TRUE,APG_reference,Basal Eudicots
Pteridaceae,Doryopteris,Doryopteris decipiens,30,30,1,TRUE,,observed_binomial_species,Doryopteris_decipiens,compatible,Polypodiales,,,,,TRUE,,Ferns,TRUE,manual_family_override,Ferns
Ranunculaceae,Aquilegia,Aquilegia ecalcarata,6,6,1,TRUE,,observed_binomial_species,Aquilegia_ecalcarata,compatible,Ranunculales,Eudicots,,,,TRUE,Eudicots,Basal Eudicots,TRUE,APG_reference,Basal Eudicots
Rhamnaceae,Ziziphus,Ziziphus jujuba,50,48,4,TRUE,,observed_binomial_species,Ziziphus_jujuba,compatible,Rosales,Eudicots,Superrosids,Rosids,Fabids,TRUE,Eudicots | Superrosids | Rosids | Fabids,Rosids (Fabids),TRUE,APG_reference,Rosids (Fabids)
Rhizophoraceae,Kandelia,Kandelia candel,46,44,2,TRUE,,observed_binomial_species,Kandelia_candel,compatible,Malpighiales,Eudicots,Superrosids,Rosids,Fabids,TRUE,Eudicots | Superrosids | Rosids | Fabids,Rosids (Fabids),TRUE,APG_reference,Rosids (Fabids)
Rosaceae,Prunus,Prunus avium,53,42,10,TRUE,,observed_binomial_species,Prunus_avium,compatible,Rosales,Eudicots,Superrosids,Rosids,Fabids,TRUE,Eudicots | Superrosids | Rosids | Fabids,Rosids (Fabids),TRUE,APG_reference,Rosids (Fabids)
Rubiaceae,Pavetta,Pavetta owariensis,40,34,7,TRUE,,observed_binomial_species,Pavetta_owariensis,compatible,Gentianales,Eudicots,Superasterids,Asterids,Lamiids,TRUE,Eudicots | Superasterids | Asterids | Lamiids,Asterids (Lamiids),TRUE,APG_reference,Asterids (Lamiids)
Rutaceae,Citrus,Citrus limon,144,45,40,TRUE,,observed_binomial_species,Citrus_limon,compatible,Sapindales,Eudicots,Superrosids,Rosids,Malvids,TRUE,Eudicots | Superrosids | Rosids | Malvids,Rosids (Malvids),TRUE,APG_reference,Rosids (Malvids)
Salicaceae,Populus,Populus tremula,38,21,7,TRUE,,observed_binomial_species,Populus_tremula,compatible,Malpighiales,Eudicots,Superrosids,Rosids,Fabids,TRUE,Eudicots | Superrosids | Rosids | Fabids,Rosids (Fabids),TRUE,APG_reference,Rosids (Fabids)
Santalaceae,Viscum,Viscum coloratum,48,37,7,TRUE,,observed_binomial_species,Viscum_coloratum,compatible,Santalales,Eudicots,Superasterids,,,TRUE,Eudicots | Superasterids,Santalales,TRUE,APG_reference,Caryophy_Santalales
Sapindaceae,Aesculus,Aesculus hippocastanum,50,39,4,TRUE,,observed_binomial_species,Aesculus_hippocastanum,compatible,Sapindales,Eudicots,Superrosids,Rosids,Malvids,TRUE,Eudicots | Superrosids | Rosids | Malvids,Rosids (Malvids),TRUE,APG_reference,Rosids (Malvids)
Sapotaceae,Manilkara,Manilkara zapota,7,7,1,TRUE,,observed_binomial_species,Manilkara_zapota,compatible,Ericales,Eudicots,Superasterids,Asterids,,TRUE,Eudicots | Superasterids | Asterids,Asterids (Basal),TRUE,APG_reference,Asterids (Basal)
Sarcolaenaceae,Schizolaena,Schizolaena hystrix,16,15,2,TRUE,,observed_binomial_species,Schizolaena_hystrix,compatible,Malvales,Eudicots,Superrosids,Rosids,Malvids,TRUE,Eudicots | Superrosids | Rosids | Malvids,Rosids (Malvids),TRUE,APG_reference,Rosids (Malvids)
Sarraceniaceae,Sarracenia,Sarracenia alabamensis,1,1,1,TRUE,,observed_binomial_species,Sarracenia_alabamensis,compatible,Ericales,Eudicots,Superasterids,Asterids,,TRUE,Eudicots | Superasterids | Asterids,Asterids (Basal),TRUE,APG_reference,Asterids (Basal)
Saururaceae,Houttuynia,Houttuynia cordata,1,1,1,TRUE,,observed_binomial_species,Houttuynia_cordata,compatible,Piperales,Magnoliids,,,,TRUE,Magnoliids,Magnoliids,TRUE,APG_reference,Magnoliids
Saxifragaceae,Leptarrhena,Leptarrhena pyrolifolia,11,11,1,TRUE,,observed_binomial_species,Leptarrhena_pyrolifolia,compatible,Saxifragales,Eudicots,Superrosids,,,TRUE,Eudicots | Superrosids,Saxifragales,TRUE,APG_reference,Saxifragales
Schisandraceae,Illicium,Illicium anisatum,15,15,1,TRUE,,observed_binomial_species,Illicium_anisatum,compatible,Austrobaileyales,,,,,TRUE,,Basal Angiosperms,TRUE,APG_reference,ANA
Sciadopityaceae,Sciadopitys,Sciadopitys verticillata,3,3,1,TRUE,,observed_binomial_species,Sciadopitys_verticillata,compatible,Cupressales,,,,,TRUE,,Gymnosperms,TRUE,manual_family_override,Gymnosperms
Scrophulariaceae,Buddleja,Buddleja madagascariensis,3,3,1,TRUE,,observed_binomial_species,Buddleja_madagascariensis,compatible,Lamiales,Eudicots,Superasterids,Asterids,Lamiids,TRUE,Eudicots | Superasterids | Asterids | Lamiids,Asterids (Lamiids),TRUE,APG_reference,Asterids (Lamiids)
Selaginellaceae,Selaginella,Selaginella delicatula,7,7,2,TRUE,,observed_binomial_species,Selaginella_delicatula,compatible,Lycopodiales,,,,,TRUE,,Lycophytes,TRUE,manual_family_override,Lycophytes
Simaroubaceae,Brucea,Brucea javanica,25,21,6,TRUE,,observed_binomial_species,Brucea_javanica,compatible,Sapindales,Eudicots,Superrosids,Rosids,Malvids,TRUE,Eudicots | Superrosids | Rosids | Malvids,Rosids (Malvids),TRUE,APG_reference,Rosids (Malvids)
Siparunaceae,Siparuna,Siparuna thecaphora,2,2,1,TRUE,,observed_binomial_species,Siparuna_thecaphora,compatible,Laurales,Magnoliids,,,,TRUE,Magnoliids,Magnoliids,TRUE,APG_reference,Magnoliids
Smilacaceae,Smilax,Smilax corbularia,33,33,1,TRUE,,observed_binomial_species,Smilax_corbularia,compatible,Liliales,Monocots,,,,TRUE,Monocots,Monocots,TRUE,APG_reference,Monocots
Solanaceae,Solanum,Solanum lycopersicum,20,18,3,TRUE,,observed_binomial_species,Solanum_lycopersicum,compatible,Solanales,Eudicots,Superasterids,Asterids,Lamiids,TRUE,Eudicots | Superasterids | Asterids | Lamiids,Asterids (Lamiids),TRUE,APG_reference,Asterids (Lamiids)
Stachyuraceae,Stachyurus,Stachyurus praecox,6,6,1,TRUE,,observed_binomial_species,Stachyurus_praecox,compatible,Crossosomatales,Eudicots,Superrosids,Rosids,Malvids,TRUE,Eudicots | Superrosids | Rosids | Malvids,Rosids (Malvids),TRUE,APG_reference,Rosids (Malvids)
Stemonaceae,Stemona,Stemona collinsae,19,10,4,TRUE,,observed_binomial_species,Stemona_collinsae,compatible,Pandanales,Monocots,,,,TRUE,Monocots,Monocots,TRUE,APG_reference,Monocots
Symplocaceae,Symplocos,Symplocos uniflora,2,2,1,TRUE,,observed_binomial_species,Symplocos_uniflora,compatible,Ericales,Eudicots,Superasterids,Asterids,,TRUE,Eudicots | Superasterids | Asterids,Asterids (Basal),TRUE,APG_reference,Asterids (Basal)
Tamaricaceae,Tamarix,Tamarix senegalensis,4,2,2,TRUE,,observed_binomial_species,Tamarix_senegalensis,compatible,Caryophyllales,Eudicots,Superasterids,,,TRUE,Eudicots | Superasterids,Caryophyllales,TRUE,APG_reference,Caryophy_Santalales
Taxaceae,Taxus,Taxus mairei,5,5,1,TRUE,,observed_binomial_species,Taxus_mairei,compatible,Cupressales,,,,,TRUE,,Gymnosperms,TRUE,manual_family_override,Gymnosperms
Tectariaceae,Tectaria,Tectaria subtriphylla,6,6,1,TRUE,,observed_binomial_species,Tectaria_subtriphylla,compatible,Polypodiales,,,,,TRUE,,Ferns,TRUE,APG_reference,Ferns
Theaceae,Camellia,Camellia sinensis,496,102,96,TRUE,,observed_binomial_species,Camellia_sinensis,compatible,Ericales,Eudicots,Superasterids,Asterids,,TRUE,Eudicots | Superasterids | Asterids,Asterids (Basal),TRUE,APG_reference,Asterids (Basal)
Thelypteridaceae,Menisciopsis,Menisciopsis penangiana,44,37,7,TRUE,,observed_binomial_species,Menisciopsis_penangiana,compatible,Polypodiales,,,,,TRUE,,Ferns,TRUE,manual_family_override,Ferns
Thymelaeaceae,Stellera,Stellera chamaejasme,60,32,12,TRUE,,observed_binomial_species,Stellera_chamaejasme,compatible,Malvales,Eudicots,Superrosids,Rosids,Malvids,TRUE,Eudicots | Superrosids | Rosids | Malvids,Rosids (Malvids),TRUE,APG_reference,Rosids (Malvids)
Trochodendraceae,Tetracentron,Tetracentron sinense,1,1,1,TRUE,,observed_binomial_species,Tetracentron_sinense,compatible,Trochodendrales,Eudicots,,,,TRUE,Eudicots,Basal Eudicots,TRUE,APG_reference,Basal Eudicots
Typhaceae,Typha,Typha capensis,12,6,3,TRUE,,observed_binomial_species,Typha_capensis,compatible,Poales,Monocots,Commelinids,,,TRUE,Monocots | Commelinids,Monocots (Commelinids),TRUE,APG_reference,Monocots (Commelinids)
Ulmaceae,Ulmus,Ulmus wallichiana,8,8,1,TRUE,,observed_binomial_species,Ulmus_wallichiana,compatible,Rosales,Eudicots,Superrosids,Rosids,Fabids,TRUE,Eudicots | Superrosids | Rosids | Fabids,Rosids (Fabids),TRUE,APG_reference,Rosids (Fabids)
