species,genus,family
Scurrula_atropurpurea,Scurrula,Loranthaceae
Huperzia_lucidula,Huperzia,Lycopodiaceae
Punica_granatum,Punica,Lythraceae
Byrsonima_crassifolia,Byrsonima,Malpighiaceae
Theobroma_cacao,Theobroma,Malvaceae
Norantea_guianensis,Norantea,Marcgraviaceae
Schoenocaulon_officinale,Schoenocaulon,Melanthiaceae
Melastoma_malabathricum,Melastoma,Melastomataceae
Soymida_febrifuga,Soymida,Meliaceae
Tinospora_sinensis,Tinospora,Menispermaceae
Mollugo_pentaphylla,Mollugo,Molluginaceae
Morus_alba,Morus,Moraceae
Muntingia_calabura,Muntingia,Muntingiaceae
Musa_acuminata,Musa,Musaceae
Myrica_rubra,Myrica,Myricaceae
Iryanthera_laevis,Iryanthera,Myristicaceae
Syzygium_nervosum,Syzygium,Myrtaceae
Eriodictyon_californicum,Eriodictyon,Boraginaceae
Nelumbo_nucifera,Nelumbo,Nelumbonaceae
Nothofagus_fusca,Nothofagus,Nothofagaceae
Mirabilis_jalapa,Mirabilis,Nyctaginaceae
Nymphaea_nouchali,Nymphaea,Nymphaeaceae
Lophira_lanceolata,Lophira,Ochnaceae
Heisteria_acuminata,Heisteria,Olacaceae
Olea_europaea,Olea,Oleaceae
Epilobium_angustifolium,Epilobium,Onagraceae
Pentarhizidium_orientale,Pentarhizidium,Onocleaceae
Helminthostachys_zeylanica,Helminthostachys,Ophioglossaceae
Pleione_bulbocodioides,Pleione,Orchidaceae
Averrhoa_carambola,Averrhoa,Oxalidaceae
Paeonia_obovata,Paeonia,Paeoniaceae
Panda_oleosa,Panda,Pandaceae
Argemone_mexicana,Argemone,Papaveraceae
Quintinia_serrata,Quintinia,Paracryphiaceae
Turnera_diffusa,Turnera,Passifloraceae
Paulownia_tomentosa,Paulownia,Paulowniaceae
Visnea_mocanera,Visnea,Pentaphylacaceae
Petiveria_alliacea,Petiveria,Petiveriaceae
Diplacus_aurantiacus,Diplacus,Phrymaceae
Phyllanthus_emblica,Phyllanthus,Phyllanthaceae
Physena_madagascariensis,Physena,Physenaceae
Phytolacca_americana,Phytolacca,Phytolaccaceae
Pinus_sylvestris,Pinus,Pinaceae
Piper_aduncum,Piper,Piperaceae
Antirrhinum_majus,Antirrhinum,Plantaginaceae
Platanus_orientalis,Platanus,Platanaceae
Limonium_sinense,Limonium,Plumbaginaceae
Gynerium_sagittatum,Gynerium,Poaceae
Phyllocladus_trichomanoides,Phyllocladus,Podocarpaceae
Polygala_virgata,Polygala,Polygalaceae
Rumex_acetosa,Rumex,Polygonaceae
Selliguea_feei,Selliguea,Polypodiaceae
Portulaca_oleracea,Portulaca,Portulacaceae
Posidonia_oceanica,Posidonia,Posidoniaceae
Ardisia_complanata,Ardisia,Primulaceae
Helicia_cochinchinensis,Helicia,Proteaceae
Doryopteris_decipiens,Doryopteris,Pteridaceae
Aquilegia_ecalcarata,Aquilegia,Ranunculaceae
Ziziphus_jujuba,Ziziphus,Rhamnaceae
Kandelia_candel,Kandelia,Rhizophoraceae
Prunus_avium,Prunus,Rosaceae
Pavetta_owariensis,Pavetta,Rubiaceae
Citrus_limon,Citrus,Rutaceae
Populus_tremula,Populus,Salicaceae
Viscum_coloratum,Viscum,Santalaceae
Aesculus_hippocastanum,Aesculus,Sapindaceae
Manilkara_zapota,Manilkara,Sapotaceae
Schizolaena_hystrix,Schizolaena,Sarcolaenaceae
Sarracenia_alabamensis,Sarracenia,Sarraceniaceae
Houttuynia_cordata,Houttuynia,Saururaceae
Leptarrhena_pyrolifolia,Leptarrhena,Saxifragaceae
Illicium_anisatum,Illicium,Schisandraceae
Sciadopitys_verticillata,Sciadopitys,Sciadopityaceae
Buddleja_madagascariensis,Buddleja,Scrophulariaceae
Selaginella_delicatula,Selaginella,Selaginellaceae
Brucea_javanica,Brucea,Simaroubaceae
Siparuna_thecaphora,Siparuna,Siparunaceae
Smilax_corbularia,Smilax,Smilacaceae
Solanum_lycopersicum,Solanum,Solanaceae
Stachyurus_praecox,Stachyurus,Stachyuraceae
Stemona_collinsae,Stemona,Stemonaceae
Symplocos_uniflora,Symplocos,Symplocaceae
Tamarix_senegalensis,Tamarix,Tamaricaceae
Taxus_mairei,Taxus,Taxaceae
Tectaria_subtriphylla,Tectaria,Tectariaceae
Camellia_sinensis,Camellia,Theaceae
Menisciopsis_penangiana,Menisciopsis,Thelypteridaceae
Stellera_chamaejasme,Stellera,Thymelaeaceae
Tetracentron_sinense,Tetracentron,Trochodendraceae
Typha_capensis,Typha,Typhaceae
Ulmus_wallichiana,Ulmus,Ulmaceae
Cecropia_glaziovii,Cecropia,Urticaceae
Vellozia_nanuzae,Vellozia,Velloziaceae
Lippia_origanoides,Lippia,Verbenaceae
Viburnum_lantanoides,Viburnum,Adoxaceae
Viola_hondoensis,Viola,Violaceae
Vitis_vinifera,Vitis,Vitaceae
Qualea_labouriauana,Qualea,Vochysiaceae
Drimys_winteri,Drimys,Winteraceae
Woodsia_scopulina,Woodsia,Woodsiaceae
Alpinia_roxburghii,Alpinia,Zingiberaceae
Larrea_tridentata,Larrea,Zygophyllaceae
