inchikey,annotation_status,n_input_rows,n_input_smiles,n_valid_smiles,n_unique_standardized_smiles,structure_conflict,representative_input_smiles,canonical_smiles,standardized_smiles,rdkit_inchikey,input_fragment_count,stereo_fallback_used,annotation_error_message,inchikey_exact_match,inchikey_connectivity_match,n_phenolic_OH,has_phenolic_OH,n_methoxy_aryl,has_methoxy_aryl,n_prenyl_like,has_prenyl_like,n_alpha_beta_unsaturated_carbonyl,has_alpha_beta_unsaturated_carbonyl,n_probable_sugar_rings,has_probable_sugar_ring,has_probable_sugar,bemis_murcko_scaffold_smiles,bemis_murcko_generic_scaffold_smiles,bemis_murcko_scaffold_atom_count,has_bemis_murcko_scaffold,murcko_framework,murko_framework,mw,exact_mw,logp,tpsa,fsp3,num_HBD,num_HBA,num_rings,num_aromatic_rings,num_rotatable_bonds,heavy_atom_number,formal_charge,fragment_count_after_standardization,selected_motif_count,is_simple_selected_motifs,decoration_combination,all_motif_combination,standardized_rdkit_inchikey,standardized_inchikey_exact_match,standardized_inchikey_connectivity_match,num_carbons,num_oxygens,num_nitrogens,num_sulfurs,num_halogens,largest_input_fragment_heavy_atoms,second_input_fragment_heavy_atoms,substantial_multicomponent_input,qc_zero_oxygen,qc_carbon_count_below_14,qc_contains_nitrogen,qc_contains_sulfur,qc_contains_halogen,primary_structure_eligible,structural_qc_status,structural_qc_reasons,class_np,family,genus,species,ref_id
AAOPKIFUFWCDQZ-UHFFFAOYSA-N,valid,1,1,1,1,False,Oc1cc(O)c(CC(O)C(c2ccc(O)c(O)c2)c2c(O)cc(O)c3c2OC(c2ccc(O)c(O)c2)C(O)C3)c(O)c1,Oc1cc(O)c(CC(O)C(c2ccc(O)c(O)c2)c2c(O)cc(O)c3c2OC(c2ccc(O)c(O)c2)C(O)C3)c(O)c1,Oc1cc(O)c(CC(O)C(c2ccc(O)c(O)c2)c2c(O)cc(O)c3c2OC(c2ccc(O)c(O)c2)C(O)C3)c(O)c1,AAOPKIFUFWCDQZ-UHFFFAOYSA-N,1,False,,True,True,9,True,0,False,0,False,0,False,0,False,False,c1ccc(CCC(c2ccccc2)c2cccc3c2OC(c2ccccc2)CC3)cc1,C1CCC(CCC(C2CCCCC2)C2CCCC3CCC(C4CCCCC4)CC32)CC1,31,True,c1ccc(CCC(c2ccccc2)c2cccc3c2OC(c2ccccc2)CC3)cc1,c1ccc(CCC(c2ccccc2)c2cccc3c2OC(c2ccccc2)CC3)cc1,580.5420000000003,580.1580763359999,2.8096000000000005,231.75999999999996,0.2,11,12,5,4,6,42,0,1,0,True,none_of_selected_motifs,phenolic_OH,AAOPKIFUFWCDQZ-UHFFFAOYSA-N,True,True,30,12,0,0,0,42,,False,False,False,False,False,False,True,pass,,Flavan-3-ols,Rosaceae,Sanguisorba,Sanguisorba officinalis,10.1016/0031-9422(83)80168-X
AASXZVQDGNSVST-JKSUJKDBSA-N,valid,1,1,1,1,False,COc1c(O)cc([C@H]2Oc3c(CN=C(O)SC)c(O)cc(O)c3C[C@@H]2O)cc1O,COc1c(O)cc([C@H]2Oc3c(CN=C(O)SC)c(O)cc(O)c3C[C@@H]2O)cc1O,COc1c(O)cc([C@H]2Oc3c(CN=C(O)SC)c(O)cc(O)c3C[C@@H]2O)cc1O,AASXZVQDGNSVST-JKSUJKDBSA-N,1,False,,True,True,4,True,1,True,0,False,0,False,0,False,False,c1ccc(C2CCc3ccccc3O2)cc1,C1CCC(C2CCC3CCCCC3C2)CC1,16,True,c1ccc(C2CCc3ccccc3O2)cc1,c1ccc(C2CCc3ccccc3O2)cc1,423.4430000000001,423.0987876319999,2.3317,152.2,0.3157894736842105,6,9,3,2,4,29,0,1,1,False,methoxy_aryl,phenolic_OH+methoxy_aryl,AASXZVQDGNSVST-JKSUJKDBSA-N,True,True,19,8,1,1,0,29,,False,False,False,True,True,False,True,review,contains_nitrogen;contains_sulfur,Flavan-3-ols,Rutaceae,Glycosmis,Glycosmis lanceolata,10.1016/J.TETLET.2004.10.172
AASXZVQDGNSVST-UHFFFAOYSA-N,valid,1,1,1,1,False,COc1c(O)cc(C2Oc3c(CN=C(O)SC)c(O)cc(O)c3CC2O)cc1O,COc1c(O)cc(C2Oc3c(CN=C(O)SC)c(O)cc(O)c3CC2O)cc1O,COc1c(O)cc(C2Oc3c(CN=C(O)SC)c(O)cc(O)c3CC2O)cc1O,AASXZVQDGNSVST-UHFFFAOYSA-N,1,False,,True,True,4,True,1,True,0,False,0,False,0,False,False,c1ccc(C2CCc3ccccc3O2)cc1,C1CCC(C2CCC3CCCCC3C2)CC1,16,True,c1ccc(C2CCc3ccccc3O2)cc1,c1ccc(C2CCc3ccccc3O2)cc1,423.4430000000001,423.0987876319999,2.3317,152.2,0.3157894736842105,6,9,3,2,4,29,0,1,1,False,methoxy_aryl,phenolic_OH+methoxy_aryl,AASXZVQDGNSVST-UHFFFAOYSA-N,True,True,19,8,1,1,0,29,,False,False,False,True,True,False,True,review,contains_nitrogen;contains_sulfur,Flavan-3-ols,Rutaceae,Glycosmis,Glycosmis lanceolata,10.1016/J.TETLET.2004.10.172
AAVIPCXEXKHNTR-UHFFFAOYSA-N,valid,1,1,1,1,False,CC1(C)CCc2cc(-c3coc4cc(O)c5c(c4c3=O)OC(C)(C)CC5)ccc2O1,CC1(C)CCc2cc(-c3coc4cc(O)c5c(c4c3=O)OC(C)(C)CC5)ccc2O1,CC1(C)CCc2cc(-c3coc4cc(O)c5c(c4c3=O)OC(C)(C)CC5)ccc2O1,AAVIPCXEXKHNTR-UHFFFAOYSA-N,1,False,,True,True,1,True,0,False,0,False,0,False,0,False,False,O=c1c(-c2ccc3c(c2)CCCO3)coc2ccc3c(c12)OCCC3,CC1C(C2CCC3CCCCC3C2)CCC2CCC3CCCCC3C21,25,True,O=c1c(-c2ccc3c(c2)CCCO3)coc2ccc3c(c12)OCCC3,O=c1c(-c2ccc3c(c2)CCCO3)coc2ccc3c(c12)OCCC3,406.47800000000024,406.178023932,5.372800000000004,68.9,0.4,1,5,5,3,1,30,0,1,0,True,none_of_selected_motifs,phenolic_OH,AAVIPCXEXKHNTR-UHFFFAOYSA-N,True,True,25,5,0,0,0,30,,False,False,False,False,False,False,True,pass,,Isoflavones,Clusiaceae,Garcinia,Garcinia dulcis,10.1016/J.PHYTOCHEM.2005.06.025
AAXMSKLPUMPSGN-UHFFFAOYSA-N,valid,1,1,1,1,False,C=CC(C)(C)c1cc(OC)c(OC)cc1-c1coc2cc(OC)cc(OC)c2c1=O,C=CC(C)(C)c1cc(OC)c(OC)cc1-c1coc2cc(OC)cc(OC)c2c1=O,C=CC(C)(C)c1cc(OC)c(OC)cc1-c1coc2cc(OC)cc(OC)c2c1=O,AAXMSKLPUMPSGN-UHFFFAOYSA-N,1,False,,True,True,0,False,4,True,0,False,0,False,0,False,False,O=c1c(-c2ccccc2)coc2ccccc12,CC1C2CCCCC2CCC1C1CCCCC1,17,True,O=c1c(-c2ccccc2)coc2ccccc12,O=c1c(-c2ccccc2)coc2ccccc12,410.4660000000002,410.1729385519999,4.9580000000000055,67.13,0.2916666666666667,0,6,3,3,7,30,0,1,1,False,methoxy_aryl,methoxy_aryl,AAXMSKLPUMPSGN-UHFFFAOYSA-N,True,True,24,6,0,0,0,30,,False,False,False,False,False,False,True,pass,,Isoflavones,Fabaceae,Psorodendron,Psorodendron arborescens,10.1021/NP0502600
AAXSQJZTSPDAGW-DGLFJVASSA-N,valid,1,1,1,1,False,Oc1ccc2c(c1)O[C@H](c1ccc(O)c(O)c1)[C@@H](O[C@@H]1OCC(O)[C@@H](O)[C@@H]1O)C2,Oc1ccc2c(c1)O[C@H](c1ccc(O)c(O)c1)[C@@H](O[C@@H]1OCC(O)[C@@H](O)[C@@H]1O)C2,Oc1ccc2c(c1)O[C@H](c1ccc(O)c(O)c1)[C@@H](O[C@@H]1OCC(O)[C@@H](O)[C@@H]1O)C2,AAXSQJZTSPDAGW-DGLFJVASSA-N,1,False,,True,True,3,True,0,False,0,False,0,False,1,True,True,c1ccc(C2Oc3ccccc3CC2OC2CCCCO2)cc1,C1CCC(CC2CC3CCCCC3CC2C2CCCCC2)CC1,23,True,c1ccc(C2Oc3ccccc3CC2OC2CCCCO2)cc1,c1ccc(C2Oc3ccccc3CC2OC2CCCCO2)cc1,406.38700000000017,406.12638228399993,0.3037999999999997,149.07,0.4,6,9,4,2,3,29,0,1,1,False,probable_sugar_ring,phenolic_OH+probable_sugar_ring,AAXSQJZTSPDAGW-DGLFJVASSA-N,True,True,20,9,0,0,0,29,,False,False,False,False,False,False,True,pass,,Flavan-3-ols,Fabaceae,Anadenanthera,Anadenanthera colubrina,10.1016/S0031-9422(99)00030-8
AAYNXSSLTTZFMB-ANNNZNAPSA-N,valid,1,1,1,1,False,COc1ccc2c(c1)OC[C@H]1Oc3cc(O)ccc3[C@H](c3cc([C@@H]4COc5cc(O)ccc5C4)ccc3OC)[C@@]21O,COc1ccc2c(c1)OC[C@H]1Oc3cc(O)ccc3[C@H](c3cc([C@@H]4COc5cc(O)ccc5C4)ccc3OC)[C@@]21O,COc1ccc2c(c1)OC[C@H]1Oc3cc(O)ccc3[C@H](c3cc([C@@H]4COc5cc(O)ccc5C4)ccc3OC)[C@@]21O,AAYNXSSLTTZFMB-ANNNZNAPSA-N,1,False,,True,True,2,True,2,True,0,False,0,False,0,False,False,c1cc(C2COc3ccccc3C2)cc(C2c3ccccc3OC3COc4ccccc4C32)c1,C1CCC2CC(C3CCCC(C4C5CCCCC5CC5CCC6CCCCC6C54)C3)CCC2C1,34,True,c1cc(C2COc3ccccc3C2)cc(C2c3ccccc3OC3COc4ccccc4C32)c1,c1cc(C2COc3ccccc3C2)cc(C2c3ccccc3OC3COc4ccccc4C32)c1,554.5950000000004,554.19406792,5.006800000000006,106.84000000000002,0.2727272727272727,3,8,7,4,4,41,0,1,1,False,methoxy_aryl,phenolic_OH+methoxy_aryl,AAYNXSSLTTZFMB-ANNNZNAPSA-N,True,True,33,8,0,0,0,41,,False,False,False,False,False,False,True,pass,,Pterocarpan,Fabaceae,Gliricidia,Gliricidia sepium,10.1021/NP980002L
AAYNXSSLTTZFMB-UHFFFAOYSA-N,valid,1,1,1,1,False,COc1ccc2c(c1)OCC1Oc3cc(O)ccc3C(c3cc(C4COc5cc(O)ccc5C4)ccc3OC)C21O,COc1ccc2c(c1)OCC1Oc3cc(O)ccc3C(c3cc(C4COc5cc(O)ccc5C4)ccc3OC)C21O,COc1ccc2c(c1)OCC1Oc3cc(O)ccc3C(c3cc(C4COc5cc(O)ccc5C4)ccc3OC)C21O,AAYNXSSLTTZFMB-UHFFFAOYSA-N,1,False,,True,True,2,True,2,True,0,False,0,False,0,False,False,c1cc(C2COc3ccccc3C2)cc(C2c3ccccc3OC3COc4ccccc4C32)c1,C1CCC2CC(C3CCCC(C4C5CCCCC5CC5CCC6CCCCC6C54)C3)CCC2C1,34,True,c1cc(C2COc3ccccc3C2)cc(C2c3ccccc3OC3COc4ccccc4C32)c1,c1cc(C2COc3ccccc3C2)cc(C2c3ccccc3OC3COc4ccccc4C32)c1,554.5950000000004,554.19406792,5.006800000000006,106.84000000000002,0.2727272727272727,3,8,7,4,4,41,0,1,1,False,methoxy_aryl,phenolic_OH+methoxy_aryl,AAYNXSSLTTZFMB-UHFFFAOYSA-N,True,True,33,8,0,0,0,41,,False,False,False,False,False,False,True,pass,,Pterocarpan,Fabaceae,Gliricidia,Gliricidia sepium,10.1021/NP980002L
ABIJRPKPVBZTCW-GFCCVEGCSA-N,valid,1,1,1,1,False,COc1cc([C@H]2CC(=O)c3c(cc(OC)c(OC)c3O)O2)cc(O)c1OC,COc1cc([C@H]2CC(=O)c3c(cc(OC)c(OC)c3O)O2)cc(O)c1OC,COc1cc([C@H]2CC(=O)c3c(cc(OC)c(OC)c3O)O2)cc(O)c1OC,ABIJRPKPVBZTCW-GFCCVEGCSA-N,1,False,,True,True,2,True,4,True,0,False,0,False,0,False,False,O=C1CC(c2ccccc2)Oc2ccccc21,CC1CC(C2CCCCC2)CC2CCCCC12,17,True,O=C1CC(c2ccccc2)Oc2ccccc21,O=C1CC(c2ccccc2)Oc2ccccc21,376.3610000000001,376.1158175999999,2.838700000000001,103.68000000000002,0.3157894736842105,2,8,3,2,5,27,0,1,1,False,methoxy_aryl,phenolic_OH+methoxy_aryl,ABIJRPKPVBZTCW-GFCCVEGCSA-N,True,True,19,8,0,0,0,27,,False,False,False,False,False,False,True,pass,,Flavanones,Bromeliaceae,Greigia,Greigia sphacelata,10.1021/NP0003387
ABIJRPKPVBZTCW-UHFFFAOYSA-N,valid,1,1,1,1,False,COc1cc(C2CC(=O)c3c(cc(OC)c(OC)c3O)O2)cc(O)c1OC,COc1cc(C2CC(=O)c3c(cc(OC)c(OC)c3O)O2)cc(O)c1OC,COc1cc(C2CC(=O)c3c(cc(OC)c(OC)c3O)O2)cc(O)c1OC,ABIJRPKPVBZTCW-UHFFFAOYSA-N,1,False,,True,True,2,True,4,True,0,False,0,False,0,False,False,O=C1CC(c2ccccc2)Oc2ccccc21,CC1CC(C2CCCCC2)CC2CCCCC12,17,True,O=C1CC(c2ccccc2)Oc2ccccc21,O=C1CC(c2ccccc2)Oc2ccccc21,376.3610000000001,376.1158175999999,2.838700000000001,103.68000000000002,0.3157894736842105,2,8,3,2,5,27,0,1,1,False,methoxy_aryl,phenolic_OH+methoxy_aryl,ABIJRPKPVBZTCW-UHFFFAOYSA-N,True,True,19,8,0,0,0,27,,False,False,False,False,False,False,True,pass,,Flavanones,Bromeliaceae,Greigia,Greigia sphacelata,10.1021/NP0003387
