Family,Order,Node.1,Node.2,Node.3,Node.4
Pandanaceae,Pandanales,Monocots,,,
Campynemataceae,Liliales,Monocots,,,
Corsiaceae,Liliales,Monocots,,,
Melanthiaceae,Liliales,Monocots,,,
Petermanniaceae,Liliales,Monocots,,,
Alstroemeriaceae,Liliales,Monocots,,,
Colchicaceae,Liliales,Monocots,,,
Philesiaceae,Liliales,Monocots,,,
Ripogonaceae,Liliales,Monocots,,,
Smilacaceae,Liliales,Monocots,,,
Liliaceae,Liliales,Monocots,,,
Orchidaceae,Asparagales,Monocots,,,
Boryaceae,Asparagales,Monocots,,,
Blandfordiaceae,Asparagales,Monocots,,,
Asteliaceae,Asparagales,Monocots,,,
Lanariaceae,Asparagales,Monocots,,,
Hypoxidaceae,Asparagales,Monocots,,,
Doryanthaceae,Asparagales,Monocots,,,
Ixioliriaceae,Asparagales,Monocots,,,
Tecophilaeaceae,Asparagales,Monocots,,,
Iridaceae,Asparagales,Monocots,,,
Xeronemataceae,Asparagales,Monocots,,,
Asphodelaceae,Asparagales,Monocots,,,
Amaryllidaceae,Asparagales,Monocots,,,
Asparagaceae,Asparagales,Monocots,,,
Dasypogonaceae,Arecales,Monocots,Commelinids,,
Arecaceae,Arecales,Monocots,Commelinids,,
Hanguanaceae,Commelinales,Monocots,Commelinids,,
Commelinaceae,Commelinales,Monocots,Commelinids,,
Philydraceae,Commelinales,Monocots,Commelinids,,
Pontederiaceae,Commelinales,Monocots,Commelinids,,
Haemodoraceae,Commelinales,Monocots,Commelinids,,
Strelitziaceae,Zingiberales,Monocots,Commelinids,,
Lowiaceae,Zingiberales,Monocots,Commelinids,,
Heliconiaceae,Zingiberales,Monocots,Commelinids,,
Musaceae,Zingiberales,Monocots,Commelinids,,
Cannaceae,Zingiberales,Monocots,Commelinids,,
Marantaceae,Zingiberales,Monocots,Commelinids,,
Costaceae,Zingiberales,Monocots,Commelinids,,
Zingiberaceae,Zingiberales,Monocots,Commelinids,,
Typhaceae,Poales,Monocots,Commelinids,,
Bromeliaceae,Poales,Monocots,Commelinids,,
Rapateaceae,Poales,Monocots,Commelinids,,
Xyridaceae,Poales,Monocots,Commelinids,,
Eriocaulaceae,Poales,Monocots,Commelinids,,
Mayacaceae,Poales,Monocots,Commelinids,,
Thurniaceae,Poales,Monocots,Commelinids,,
Juncaceae,Poales,Monocots,Commelinids,,
Cyperaceae,Poales,Monocots,Commelinids,,
Restionaceae,Poales,Monocots,Commelinids,,
Flagellariaceae,Poales,Monocots,Commelinids,,
Joinvilleaceae,Poales,Monocots,Commelinids,,
Ecdeiocoleaceae,Poales,Monocots,Commelinids,,
Poaceae,Poales,Monocots,Commelinids,,
Ceratophyllaceae,Ceratophyllales,,,,
Eupteleaceae,Ranunculales,Eudicots,,,
Papaveraceae,Ranunculales,Eudicots,,,
Circaeasteraceae,Ranunculales,Eudicots,,,
Lardizabalaceae,Ranunculales,Eudicots,,,
Menispermaceae,Ranunculales,Eudicots,,,
Berberidaceae,Ranunculales,Eudicots,,,
Ranunculaceae,Ranunculales,Eudicots,,,
Sabiaceae,Proteales,Eudicots,,,
Nelumbonaceae,Proteales,Eudicots,,,
Platanaceae,Proteales,Eudicots,,,
Proteaceae,Proteales,Eudicots,,,
Trochodendraceae,Trochodendrales,Eudicots,,,
Buxaceae,Buxales,Eudicots,,,
Myrothamnaceae,Gunnerales,Eudicots,,,
Gunneraceae,Gunnerales,Eudicots,,,
Dilleniaceae,Dilleniales,Eudicots,,,
Peridiscaceae,Saxifragales,Eudicots,Superrosids,,
Paeoniaceae,Saxifragales,Eudicots,Superrosids,,
Altingiaceae,Saxifragales,Eudicots,Superrosids,,
Hamamelidaceae,Saxifragales,Eudicots,Superrosids,,
Cercidiphyllaceae,Saxifragales,Eudicots,Superrosids,,
Daphniphyllaceae,Saxifragales,Eudicots,Superrosids,,
Iteaceae,Saxifragales,Eudicots,Superrosids,,
Grossulariaceae,Saxifragales,Eudicots,Superrosids,,
Saxifragaceae,Saxifragales,Eudicots,Superrosids,,
Crassulaceae,Saxifragales,Eudicots,Superrosids,,
Aphanopetalaceae,Saxifragales,Eudicots,Superrosids,,
Tetracarpaeaceae,Saxifragales,Eudicots,Superrosids,,
Penthoraceae,Saxifragales,Eudicots,Superrosids,,
Haloragaceae,Saxifragales,Eudicots,Superrosids,,
Cynomoriaceae,Saxifragales,Eudicots,Superrosids,,
Vitaceae,Vitales,Eudicots,Superrosids,Rosids,
Krameriaceae,Zygophyllales,Eudicots,Superrosids,Rosids,Fabids
Zygophyllaceae,Zygophyllales,Eudicots,Superrosids,Rosids,Fabids
Quillajaceae,Fabales,Eudicots,Superrosids,Rosids,Fabids
Fabaceae,Fabales,Eudicots,Superrosids,Rosids,Fabids
Surianaceae,Fabales,Eudicots,Superrosids,Rosids,Fabids
Polygalaceae,Fabales,Eudicots,Superrosids,Rosids,Fabids
Rosaceae,Rosales,Eudicots,Superrosids,Rosids,Fabids
Barbeyaceae,Rosales,Eudicots,Superrosids,Rosids,Fabids
Dirachmaceae,Rosales,Eudicots,Superrosids,Rosids,Fabids
Elaeagnaceae,Rosales,Eudicots,Superrosids,Rosids,Fabids
Rhamnaceae,Rosales,Eudicots,Superrosids,Rosids,Fabids
Ulmaceae,Rosales,Eudicots,Superrosids,Rosids,Fabids
Cannabaceae,Rosales,Eudicots,Superrosids,Rosids,Fabids
Moraceae,Rosales,Eudicots,Superrosids,Rosids,Fabids
Urticaceae,Rosales,Eudicots,Superrosids,Rosids,Fabids
Nothofagaceae,Fagales,Eudicots,Superrosids,Rosids,Fabids
Fagaceae,Fagales,Eudicots,Superrosids,Rosids,Fabids
Myricaceae,Fagales,Eudicots,Superrosids,Rosids,Fabids
Juglandaceae,Fagales,Eudicots,Superrosids,Rosids,Fabids
Casuarinaceae,Fagales,Eudicots,Superrosids,Rosids,Fabids
Ticodendraceae,Fagales,Eudicots,Superrosids,Rosids,Fabids
Betulaceae,Fagales,Eudicots,Superrosids,Rosids,Fabids
Apodanthaceae,Cucurbitales,Eudicots,Superrosids,Rosids,Fabids
Anisophylleaceae,Cucurbitales,Eudicots,Superrosids,Rosids,Fabids
Corynocarpaceae,Cucurbitales,Eudicots,Superrosids,Rosids,Fabids
Coriariaceae,Cucurbitales,Eudicots,Superrosids,Rosids,Fabids
Cucurbitaceae,Cucurbitales,Eudicots,Superrosids,Rosids,Fabids
Tetramelaceae,Cucurbitales,Eudicots,Superrosids,Rosids,Fabids
Datiscaceae,Cucurbitales,Eudicots,Superrosids,Rosids,Fabids
Begoniaceae,Cucurbitales,Eudicots,Superrosids,Rosids,Fabids
Lepidobotryaceae,Celastrales,Eudicots,Superrosids,Rosids,Fabids
Celastraceae,Celastrales,Eudicots,Superrosids,Rosids,Fabids
Huaceae,Oxalidales,Eudicots,Superrosids,Rosids,Fabids
Connaraceae,Oxalidales,Eudicots,Superrosids,Rosids,Fabids
Oxalidaceae,Oxalidales,Eudicots,Superrosids,Rosids,Fabids
Cunoniaceae,Oxalidales,Eudicots,Superrosids,Rosids,Fabids
Elaeocarpaceae,Oxalidales,Eudicots,Superrosids,Rosids,Fabids
Cephalotaceae,Oxalidales,Eudicots,Superrosids,Rosids,Fabids
Brunelliaceae,Oxalidales,Eudicots,Superrosids,Rosids,Fabids
Pandaceae,Malpighiales,Eudicots,Superrosids,Rosids,Fabids
Irvingiaceae,Malpighiales,Eudicots,Superrosids,Rosids,Fabids
Ctenolophonaceae,Malpighiales,Eudicots,Superrosids,Rosids,Fabids
Rhizophoraceae,Malpighiales,Eudicots,Superrosids,Rosids,Fabids
Erythroxylaceae,Malpighiales,Eudicots,Superrosids,Rosids,Fabids
Ochnaceae,Malpighiales,Eudicots,Superrosids,Rosids,Fabids
Bonnetiaceae,Malpighiales,Eudicots,Superrosids,Rosids,Fabids
Clusiaceae,Malpighiales,Eudicots,Superrosids,Rosids,Fabids
Calophyllaceae,Malpighiales,Eudicots,Superrosids,Rosids,Fabids
Podostemaceae,Malpighiales,Eudicots,Superrosids,Rosids,Fabids
Hypericaceae,Malpighiales,Eudicots,Superrosids,Rosids,Fabids
Caryocaraceae,Malpighiales,Eudicots,Superrosids,Rosids,Fabids
Lophopyxidaceae,Malpighiales,Eudicots,Superrosids,Rosids,Fabids
Putranjivaceae,Malpighiales,Eudicots,Superrosids,Rosids,Fabids
Centroplacaceae,Malpighiales,Eudicots,Superrosids,Rosids,Fabids
Elatinaceae,Malpighiales,Eudicots,Superrosids,Rosids,Fabids
Malpighiaceae,Malpighiales,Eudicots,Superrosids,Rosids,Fabids
Balanopaceae,Malpighiales,Eudicots,Superrosids,Rosids,Fabids
Trigoniaceae,Malpighiales,Eudicots,Superrosids,Rosids,Fabids
Dichapetalaceae,Malpighiales,Eudicots,Superrosids,Rosids,Fabids
Euphroniaceae,Malpighiales,Eudicots,Superrosids,Rosids,Fabids
Chrysobalanaceae,Malpighiales,Eudicots,Superrosids,Rosids,Fabids
Humiriaceae,Malpighiales,Eudicots,Superrosids,Rosids,Fabids
Achariaceae,Malpighiales,Eudicots,Superrosids,Rosids,Fabids
Violaceae,Malpighiales,Eudicots,Superrosids,Rosids,Fabids
Goupiaceae,Malpighiales,Eudicots,Superrosids,Rosids,Fabids
Passifloraceae,Malpighiales,Eudicots,Superrosids,Rosids,Fabids
Lacistemataceae,Malpighiales,Eudicots,Superrosids,Rosids,Fabids
Salicaceae,Malpighiales,Eudicots,Superrosids,Rosids,Fabids
Peraceae,Malpighiales,Eudicots,Superrosids,Rosids,Fabids
Rafflesiaceae,Malpighiales,Eudicots,Superrosids,Rosids,Fabids
Euphorbiaceae,Malpighiales,Eudicots,Superrosids,Rosids,Fabids
Linaceae,Malpighiales,Eudicots,Superrosids,Rosids,Fabids
Ixonanthaceae,Malpighiales,Eudicots,Superrosids,Rosids,Fabids
Picrodendraceae,Malpighiales,Eudicots,Superrosids,Rosids,Fabids
Phyllanthaceae,Malpighiales,Eudicots,Superrosids,Rosids,Fabids
Geraniaceae,Geraniales,Eudicots,Superrosids,Rosids,Malvids
Francoaceae,Geraniales,Eudicots,Superrosids,Rosids,Malvids
Combretaceae,Myrtales,Eudicots,Superrosids,Rosids,Malvids
Lythraceae,Myrtales,Eudicots,Superrosids,Rosids,Malvids
Onagraceae,Myrtales,Eudicots,Superrosids,Rosids,Malvids
Vochysiaceae,Myrtales,Eudicots,Superrosids,Rosids,Malvids
Myrtaceae,Myrtales,Eudicots,Superrosids,Rosids,Malvids
Melastomataceae,Myrtales,Eudicots,Superrosids,Rosids,Malvids
Crypteroniaceae,Myrtales,Eudicots,Superrosids,Rosids,Malvids
Alzateaceae,Myrtales,Eudicots,Superrosids,Rosids,Malvids
Penaeaceae,Myrtales,Eudicots,Superrosids,Rosids,Malvids
Aphloiaceae,Crossosomatales,Eudicots,Superrosids,Rosids,Malvids
Geissolomataceae,Crossosomatales,Eudicots,Superrosids,Rosids,Malvids
Strasburgeriaceae,Crossosomatales,Eudicots,Superrosids,Rosids,Malvids
Staphyleaceae,Crossosomatales,Eudicots,Superrosids,Rosids,Malvids
Guamatelaceae,Crossosomatales,Eudicots,Superrosids,Rosids,Malvids
Stachyuraceae,Crossosomatales,Eudicots,Superrosids,Rosids,Malvids
Crossosomataceae,Crossosomatales,Eudicots,Superrosids,Rosids,Malvids
Picramniaceae,Picramniales,Eudicots,Superrosids,Rosids,Malvids
Gerrardinaceae,Huerteales,Eudicots,Superrosids,Rosids,Malvids
Petenaeaceae,Huerteales,Eudicots,Superrosids,Rosids,Malvids
Tapisciaceae,Huerteales,Eudicots,Superrosids,Rosids,Malvids
Dipentodontaceae,Huerteales,Eudicots,Superrosids,Rosids,Malvids
Biebersteiniaceae,Sapindales,Eudicots,Superrosids,Rosids,Malvids
Nitrariaceae,Sapindales,Eudicots,Superrosids,Rosids,Malvids
Kirkiaceae,Sapindales,Eudicots,Superrosids,Rosids,Malvids
Burseraceae,Sapindales,Eudicots,Superrosids,Rosids,Malvids
Anacardiaceae,Sapindales,Eudicots,Superrosids,Rosids,Malvids
Sapindaceae,Sapindales,Eudicots,Superrosids,Rosids,Malvids
Rutaceae,Sapindales,Eudicots,Superrosids,Rosids,Malvids
Simaroubaceae,Sapindales,Eudicots,Superrosids,Rosids,Malvids
Meliaceae,Sapindales,Eudicots,Superrosids,Rosids,Malvids
Cytinaceae,Malvales,Eudicots,Superrosids,Rosids,Malvids
Muntingiaceae,Malvales,Eudicots,Superrosids,Rosids,Malvids
Neuradaceae,Malvales,Eudicots,Superrosids,Rosids,Malvids
Malvaceae,Malvales,Eudicots,Superrosids,Rosids,Malvids
Sphaerosepalaceae,Malvales,Eudicots,Superrosids,Rosids,Malvids
Thymelaeaceae,Malvales,Eudicots,Superrosids,Rosids,Malvids
Bixaceae,Malvales,Eudicots,Superrosids,Rosids,Malvids
Cistaceae,Malvales,Eudicots,Superrosids,Rosids,Malvids
Sarcolaenaceae,Malvales,Eudicots,Superrosids,Rosids,Malvids
Dipterocarpaceae,Malvales,Eudicots,Superrosids,Rosids,Malvids
Akaniaceae,Brassicales,Eudicots,Superrosids,Rosids,Malvids
Tropaeolaceae,Brassicales,Eudicots,Superrosids,Rosids,Malvids
Moringaceae,Brassicales,Eudicots,Superrosids,Rosids,Malvids
Caricaceae,Brassicales,Eudicots,Superrosids,Rosids,Malvids
Limnanthaceae,Brassicales,Eudicots,Superrosids,Rosids,Malvids
Setchellanthaceae,Brassicales,Eudicots,Superrosids,Rosids,Malvids
Koeberliniaceae,Brassicales,Eudicots,Superrosids,Rosids,Malvids
Bataceae,Brassicales,Eudicots,Superrosids,Rosids,Malvids
Salvadoraceae,Brassicales,Eudicots,Superrosids,Rosids,Malvids
Emblingiaceae,Brassicales,Eudicots,Superrosids,Rosids,Malvids
Tovariaceae,Brassicales,Eudicots,Superrosids,Rosids,Malvids
Pentadiplandraceae,Brassicales,Eudicots,Superrosids,Rosids,Malvids
Gyrostemonaceae,Brassicales,Eudicots,Superrosids,Rosids,Malvids
Resedaceae,Brassicales,Eudicots,Superrosids,Rosids,Malvids
Capparaceae,Brassicales,Eudicots,Superrosids,Rosids,Malvids
Cleomaceae,Brassicales,Eudicots,Superrosids,Rosids,Malvids
Brassicaceae,Brassicales,Eudicots,Superrosids,Rosids,Malvids
Aextoxicaceae,Berberidopsidales,Eudicots,Superasterids,,
Berberidopsidaceae,Berberidopsidales,Eudicots,Superasterids,,
Olacaceae,Santalales,Eudicots,Superasterids,,
Opiliaceae,Santalales,Eudicots,Superasterids,,
Balanophoraceae,Santalales,Eudicots,Superasterids,,
Santalaceae,Santalales,Eudicots,Superasterids,,
Misodendraceae,Santalales,Eudicots,Superasterids,,
Schoepfiaceae,Santalales,Eudicots,Superasterids,,
Loranthaceae,Santalales,Eudicots,Superasterids,,
Frankeniaceae,Caryophyllales,Eudicots,Superasterids,,
Tamaricaceae,Caryophyllales,Eudicots,Superasterids,,
Plumbaginaceae,Caryophyllales,Eudicots,Superasterids,,
Polygonaceae,Caryophyllales,Eudicots,Superasterids,,
Droseraceae,Caryophyllales,Eudicots,Superasterids,,
Nepenthaceae,Caryophyllales,Eudicots,Superasterids,,
Drosophyllaceae,Caryophyllales,Eudicots,Superasterids,,
Dioncophyllaceae,Caryophyllales,Eudicots,Superasterids,,
Ancistrocladaceae,Caryophyllales,Eudicots,Superasterids,,
Rhabdodendraceae,Caryophyllales,Eudicots,Superasterids,,
Simmondsiaceae,Caryophyllales,Eudicots,Superasterids,,
Physenaceae,Caryophyllales,Eudicots,Superasterids,,
Asteropeiaceae,Caryophyllales,Eudicots,Superasterids,,
Macarthuriaceae,Caryophyllales,Eudicots,Superasterids,,
Microteaceae,Caryophyllales,Eudicots,Superasterids,,
Caryophyllaceae,Caryophyllales,Eudicots,Superasterids,,
Achatocarpaceae,Caryophyllales,Eudicots,Superasterids,,
Amaranthaceae,Caryophyllales,Eudicots,Superasterids,,
Stegnospermataceae,Caryophyllales,Eudicots,Superasterids,,
Limeaceae,Caryophyllales,Eudicots,Superasterids,,
Lophiocarpaceae,Caryophyllales,Eudicots,Superasterids,,
Kewaceae,Caryophyllales,Eudicots,Superasterids,,
Barbeuiaceae,Caryophyllales,Eudicots,Superasterids,,
Gisekiaceae,Caryophyllales,Eudicots,Superasterids,,
Aizoaceae,Caryophyllales,Eudicots,Superasterids,,
Phytolaccaceae,Caryophyllales,Eudicots,Superasterids,,
Petiveriaceae,Caryophyllales,Eudicots,Superasterids,,
Sarcobataceae,Caryophyllales,Eudicots,Superasterids,,
Nyctaginaceae,Caryophyllales,Eudicots,Superasterids,,
Molluginaceae,Caryophyllales,Eudicots,Superasterids,,
Montiaceae,Caryophyllales,Eudicots,Superasterids,,
Didiereaceae,Caryophyllales,Eudicots,Superasterids,,
Basellaceae,Caryophyllales,Eudicots,Superasterids,,
Halophytaceae,Caryophyllales,Eudicots,Superasterids,,
Talinaceae,Caryophyllales,Eudicots,Superasterids,,
Portulacaceae,Caryophyllales,Eudicots,Superasterids,,
Anacampserotaceae,Caryophyllales,Eudicots,Superasterids,,
Cactaceae,Caryophyllales,Eudicots,Superasterids,,
Nyssaceae,Cornales,Eudicots,Superasterids,Asterids,
Hydrostachyaceae,Cornales,Eudicots,Superasterids,Asterids,
Hydrangeaceae,Cornales,Eudicots,Superasterids,Asterids,
Loasaceae,Cornales,Eudicots,Superasterids,Asterids,
Curtisiaceae,Cornales,Eudicots,Superasterids,Asterids,
Grubbiaceae,Cornales,Eudicots,Superasterids,Asterids,
Cornaceae,Cornales,Eudicots,Superasterids,Asterids,
Balsaminaceae,Ericales,Eudicots,Superasterids,Asterids,
Marcgraviaceae,Ericales,Eudicots,Superasterids,Asterids,
Tetrameristaceae,Ericales,Eudicots,Superasterids,Asterids,
Fouquieriaceae,Ericales,Eudicots,Superasterids,Asterids,
Polemoniaceae,Ericales,Eudicots,Superasterids,Asterids,
Lecythidaceae,Ericales,Eudicots,Superasterids,Asterids,
Sladeniaceae,Ericales,Eudicots,Superasterids,Asterids,
Pentaphylacaceae,Ericales,Eudicots,Superasterids,Asterids,
Sapotaceae,Ericales,Eudicots,Superasterids,Asterids,
Ebenaceae,Ericales,Eudicots,Superasterids,Asterids,
Primulaceae,Ericales,Eudicots,Superasterids,Asterids,
Theaceae,Ericales,Eudicots,Superasterids,Asterids,
Symplocaceae,Ericales,Eudicots,Superasterids,Asterids,
Diapensiaceae,Ericales,Eudicots,Superasterids,Asterids,
Styracaceae,Ericales,Eudicots,Superasterids,Asterids,
Sarraceniaceae,Ericales,Eudicots,Superasterids,Asterids,
Roridulaceae,Ericales,Eudicots,Superasterids,Asterids,
Actinidiaceae,Ericales,Eudicots,Superasterids,Asterids,
Clethraceae,Ericales,Eudicots,Superasterids,Asterids,
Cyrillaceae,Ericales,Eudicots,Superasterids,Asterids,
Ericaceae,Ericales,Eudicots,Superasterids,Asterids,
Mitrastemonaceae,Ericales,Eudicots,Superasterids,Asterids,
Oncothecaceae,Icacinales,Eudicots,Superasterids,Asterids,Lamiids
Icacinaceae,Icacinales,Eudicots,Superasterids,Asterids,Lamiids
Metteniusaceae,Metteniusales,Eudicots,Superasterids,Asterids,Lamiids
Eucommiaceae,Garryales,Eudicots,Superasterids,Asterids,Lamiids
Garryaceae,Garryales,Eudicots,Superasterids,Asterids,Lamiids
Rubiaceae,Gentianales,Eudicots,Superasterids,Asterids,Lamiids
Gentianaceae,Gentianales,Eudicots,Superasterids,Asterids,Lamiids
Loganiaceae,Gentianales,Eudicots,Superasterids,Asterids,Lamiids
Gelsemiaceae,Gentianales,Eudicots,Superasterids,Asterids,Lamiids
Apocynaceae,Gentianales,Eudicots,Superasterids,Asterids,Lamiids
Boraginaceae,Boraginales,Eudicots,Superasterids,Asterids,Lamiids
Vahliaceae,Vahliales,Eudicots,Superasterids,Asterids,Lamiids
Convolvulaceae,Solanales,Eudicots,Superasterids,Asterids,Lamiids
Solanaceae,Solanales,Eudicots,Superasterids,Asterids,Lamiids
Montiniaceae,Solanales,Eudicots,Superasterids,Asterids,Lamiids
Sphenocleaceae,Solanales,Eudicots,Superasterids,Asterids,Lamiids
Hydroleaceae,Solanales,Eudicots,Superasterids,Asterids,Lamiids
Plocospermataceae,Lamiales,Eudicots,Superasterids,Asterids,Lamiids
Carlemanniaceae,Lamiales,Eudicots,Superasterids,Asterids,Lamiids
Oleaceae,Lamiales,Eudicots,Superasterids,Asterids,Lamiids
Tetrachondraceae,Lamiales,Eudicots,Superasterids,Asterids,Lamiids
Calceolariaceae,Lamiales,Eudicots,Superasterids,Asterids,Lamiids
Gesneriaceae,Lamiales,Eudicots,Superasterids,Asterids,Lamiids
Plantaginaceae,Lamiales,Eudicots,Superasterids,Asterids,Lamiids
Scrophulariaceae,Lamiales,Eudicots,Superasterids,Asterids,Lamiids
Stilbaceae,Lamiales,Eudicots,Superasterids,Asterids,Lamiids
Linderniaceae,Lamiales,Eudicots,Superasterids,Asterids,Lamiids
Byblidaceae,Lamiales,Eudicots,Superasterids,Asterids,Lamiids
Martyniaceae,Lamiales,Eudicots,Superasterids,Asterids,Lamiids
Pedaliaceae,Lamiales,Eudicots,Superasterids,Asterids,Lamiids
Acanthaceae,Lamiales,Eudicots,Superasterids,Asterids,Lamiids
Bignoniaceae,Lamiales,Eudicots,Superasterids,Asterids,Lamiids
Lentibulariaceae,Lamiales,Eudicots,Superasterids,Asterids,Lamiids
Schlegeliaceae,Lamiales,Eudicots,Superasterids,Asterids,Lamiids
Thomandersiaceae,Lamiales,Eudicots,Superasterids,Asterids,Lamiids
Verbenaceae,Lamiales,Eudicots,Superasterids,Asterids,Lamiids
Lamiaceae,Lamiales,Eudicots,Superasterids,Asterids,Lamiids
Mazaceae,Lamiales,Eudicots,Superasterids,Asterids,Lamiids
Phrymaceae,Lamiales,Eudicots,Superasterids,Asterids,Lamiids
Paulowniaceae,Lamiales,Eudicots,Superasterids,Asterids,Lamiids
Orobanchaceae,Lamiales,Eudicots,Superasterids,Asterids,Lamiids
Stemonuraceae,Aquifoliales,Eudicots,Superasterids,Asterids,Campanulids
Cardiopteridaceae,Aquifoliales,Eudicots,Superasterids,Asterids,Campanulids
Phyllonomaceae,Aquifoliales,Eudicots,Superasterids,Asterids,Campanulids
Helwingiaceae,Aquifoliales,Eudicots,Superasterids,Asterids,Campanulids
Aquifoliaceae,Aquifoliales,Eudicots,Superasterids,Asterids,Campanulids
Rousseaceae,Asterales,Eudicots,Superasterids,Asterids,Campanulids
Campanulaceae,Asterales,Eudicots,Superasterids,Asterids,Campanulids
Pentaphragmataceae,Asterales,Eudicots,Superasterids,Asterids,Campanulids
Stylidiaceae,Asterales,Eudicots,Superasterids,Asterids,Campanulids
Alseuosmiaceae,Asterales,Eudicots,Superasterids,Asterids,Campanulids
Phellinaceae,Asterales,Eudicots,Superasterids,Asterids,Campanulids
Argophyllaceae,Asterales,Eudicots,Superasterids,Asterids,Campanulids
Menyanthaceae,Asterales,Eudicots,Superasterids,Asterids,Campanulids
Goodeniaceae,Asterales,Eudicots,Superasterids,Asterids,Campanulids
Calyceraceae,Asterales,Eudicots,Superasterids,Asterids,Campanulids
Asteraceae,Asterales,Eudicots,Superasterids,Asterids,Campanulids
Escalloniaceae,Escalloniales,Eudicots,Superasterids,Asterids,Campanulids
Columelliaceae,Bruniales,Eudicots,Superasterids,Asterids,Campanulids
Bruniaceae,Bruniales,Eudicots,Superasterids,Asterids,Campanulids
Paracryphiaceae,Paracryphiales,Eudicots,Superasterids,Asterids,Campanulids
Adoxaceae,Dipsacales,Eudicots,Superasterids,Asterids,Campanulids
Caprifoliaceae,Dipsacales,Eudicots,Superasterids,Asterids,Campanulids
Pennantiaceae,Apiales,Eudicots,Superasterids,Asterids,Campanulids
Torricelliaceae,Apiales,Eudicots,Superasterids,Asterids,Campanulids
Griseliniaceae,Apiales,Eudicots,Superasterids,Asterids,Campanulids
Pittosporaceae,Apiales,Eudicots,Superasterids,Asterids,Campanulids
Araliaceae,Apiales,Eudicots,Superasterids,Asterids,Campanulids
Myodocarpaceae,Apiales,Eudicots,Superasterids,Asterids,Campanulids
Apiaceae,Apiales,Eudicots,Superasterids,Asterids,Campanulids
Cycadaceae,Cycadales,,,,
Zamiaceae,Cycadales,,,,
Ginkgoaceae,Ginkgoales,,,,
Welwitschiaceae,Gnetales,,,,
Gnetaceae,Gnetales,,,,
Ephedraceae,Gnetales,,,,
Pinaceae,Pinales,,,,
Araucariaceae,Cupressales,,,,
Podocarpaceae,Cupressales,,,,
Sciadopityaceae,Cupressales,,,,
Cupressaceae,Cupressales,,,,
Taxaceae,Cupressales,,,,
Isoetaceae,Isoetales,,,,
Lycopodiaceae,Lycopodiales,,,,
Selaginellaceae,Lycopodiales,,,,
Ophioglossaceae,Ophioglossales,,,,
Psilotaceae,Psilotales,,,,
Equisetaceae,Equisetales,,,,
Marattiaceae,Marattiales,,,,
Osmundaceae,Osmundales,,,,
Hymenophyllaceae,Hymenophyllales,,,,
Gleicheniaceae,Gleicheniales,,,,
Dipteridaceae,Gleicheniales,,,,
Matoniaceae,Gleicheniales,,,,
Lygodiaceae,Schizaeales,,,,
Anemiaceae,Schizaeales,,,,
Schizaeaceae,Schizaeales,,,,
Marsileaceae,Salviniales,,,,
Salviniaceae,Salviniales,,,,
Thyrsopteridaceae,Cyatheales,,,,
Loxsomataceae,Cyatheales,,,,
Culcitaceae,Cyatheales,,,,
Plagiogyriaceae,Cyatheales,,,,
Cibotiaceae,Cyatheales,,,,
